"","segment","email_send","email_open_rate","email_click_rate","email_forward_rate","rest_loc_bar","rest_loc_Merch","rest_loc_Open","rest_loc_Patio","rest_loc_Rest","rest_loc_rm_serv","rest_loc_Take_out","rest_loc_cafe","rest_loc_unkn","time_breakfast","time_dinner","time_late_nite","time_lunch","time_unknown","disc_app","disc_beverage","disc_dessert","disc_employee","disc_food","disc_other","disc_ribs","disc_sandwich","disc_ticket","disc_type_bogo","disc_type_comp","disc_type_dolfood","disc_type_empl","disc_type_free","disc_type_other","disc_type_pctfood","disc_chan_advo","disc_chan_comp","disc_chan_demo","disc_chan_empl","disc_chan_entbk","disc_chan_gmms","disc_chan_gps","disc_chan_laten","disc_chan_local","disc_chan_other","disc_chan_part","disc_chan_smart","disc_chan_valc","disc_chan_value","disc_pct_tot","disc_pct_trans","items_tot_distinct","items_tot","net_amt_p_item","checks_tot","net_sales_p_chck","net_sales_tot","fd_cat_alcoh","fd_cat_app","fd_cat_bev","fd_cat_brunc","fd_cat_buffe","fd_cat_burg","fd_cat_combo","fd_cat_dess","fd_cat_drink","fd_cat_h_ent","fd_cat_kids","fd_cat_l_ent","fd_cat_other","fd_cat_side","fd_cat_soupsal","fd_cat_steak","days_between_trans","tenure_day","age","guests_last_12mo","customer_number"
"1","seg1",5,5,3,1,7,1,1,1,1,1,4,1,1,2,3,3,4,1,2,5,5,1,5,3,4,5,4,4,1,3,1,4,3,5,2,1,1,2,1,3,4,1,2,4,1,1,1,2,3,3,4,5,3,6,6,5,6,3,2,3,1,5,6,3,1,1,6,3,3,6,5,4,4,6,5,4,4
"2","seg2",6,4,6,2,6,2,2,2,2,2,1,2,2,3,7,7,1,2,5,1,7,2,7,6,7,6,7,2,2,7,2,7,6,7,3,2,2,1,2,7,7,2,3,6,2,2,2,4,7,7,6,6,2,5,5,6,7,6,1,4,2,1,3,7,2,7,4,1,2,7,1,7,5,1,1,5,7
"3","seg3",7,7,4,3,3,3,3,3,5,3,5,3,3,6,2,6,3,3,7,7,6,3,6,4,6,3,5,5,3,5,3,6,4,6,4,3,3,3,3,6,5,3,4,7,3,3,3,1,4,4,7,7,4,7,7,7,3,1,4,5,3,3,7,4,3,5,7,4,1,3,2,6,7,3,6,7,6
"4","seg4",1,1,1,4,1,4,4,4,7,4,2,4,4,1,4,2,6,4,3,2,1,4,1,2,1,1,2,1,4,2,4,1,2,1,1,4,4,4,4,2,1,4,5,1,4,4,4,5,2,2,1,1,6,1,2,1,2,4,5,1,4,6,1,2,4,6,1,5,7,2,3,2,2,2,2,1,1
"5","seg5",2,2,2,5,2,5,5,5,6,5,3,5,5,4,5,1,7,5,6,3,3,5,3,1,3,2,1,6,5,1,5,3,1,3,6,5,5,5,5,1,2,5,1,2,5,5,5,3,1,1,2,2,7,2,4,2,1,2,7,2,5,7,4,1,5,2,3,7,4,4,7,5,1,7,7,2,2
"6","seg6",3,3,5,6,5,6,6,6,3,6,6,6,6,7,1,5,5,6,4,4,2,6,2,5,2,4,6,3,6,6,6,2,5,2,5,6,6,6,6,4,6,6,6,3,6,6,6,7,5,5,3,3,1,3,1,3,5,7,6,6,6,4,2,5,6,3,5,6,6,5,6,1,6,5,4,3,3
"7","seg7",4,6,7,7,4,7,7,7,4,7,7,7,7,5,6,4,2,7,1,6,4,7,4,7,5,7,3,7,7,4,7,5,7,4,7,7,7,7,7,5,3,7,7,5,7,7,7,6,6,6,5,4,5,4,3,4,4,5,3,7,7,2,5,6,7,4,2,2,5,1,4,3,3,4,3,6,5
