"","segment","category","quantity_before","price_before","coef_price","price_elaticity","p_drop_5_percent","rev_change_d_5_percent","p_drop_10_percent","rev_change_d_10_percent","p_add_5_percent","rev_change_a_5_percent","p_add_10_percent","rev_change_a_10_percent"
"56",4,"dess",2.325,0.432,-0.295,0.055,2.331,-0.048,2.338,-0.616,2.319,0.047,2.312,0.094
"57",4,"drink",0.705,0.254,0,0,0,0,1,0,0,0,0,0
"58",4,"h_ent",10.068,1.588,-0.899,0.142,10.139,-0.692,10.211,-14.559,9.997,0.681,9.925,1.349
"59",4,"kids",2.688,0.392,-0.197,0.029,2.692,-0.051,2.696,-0.701,2.684,0.051,2.68,0.102
"60",4,"l_ent",5.805,0.675,-0.674,0.078,5.828,-0.181,5.85,-3.311,5.782,0.18,5.76,0.358
"61",4,"other",2.852,0.336,-0.71,0.084,2.864,-0.044,2.876,-0.656,2.84,0.044,2.828,0.087
"62",4,"side",1.65,0.167,-0.602,0.061,1.655,-0.013,1.66,-0.125,1.645,0.013,1.64,0.026
"63",4,"soupsal",4.843,0.556,-0.886,0.102,4.868,-0.121,4.892,-2.192,4.818,0.12,4.794,0.239
"64",4,"steak",7.42,1.21,-0.586,0.096,7.456,-0.408,7.491,-7.889,7.384,0.403,7.349,0.803
"65",5,"alcoh",13.191,1.572,-0.817,0.097,13.255,-0.941,13.319,-19.321,13.127,0.931,13.063,1.852
"66",5,"app",7.328,1.295,-0.919,0.162,7.387,-0.402,7.447,-8.324,7.269,0.394,7.209,0.779
"67",5,"bev",2.696,0.521,-0.897,0.173,2.719,-0.059,2.743,-0.936,2.673,0.058,2.649,0.114
"68",5,"brunc",6.673,1.112,0,0,0,0,1,0,0,0,0,0
"69",5,"buffe",NA,NA,0,0,0,0,1,0,0,0,0,0
"70",5,"burg",4.294,0.796,-0.897,0.166,4.33,-0.144,4.365,-2.702,4.258,0.141,4.223,0.28
"71",5,"combo",2.018,0.829,-2.327,0.956,2.114,-0.008,2.211,-0.927,1.922,0,1.825,-0.009
"72",5,"dess",1.638,0.497,-1.084,0.329,1.665,-0.028,1.692,-0.367,1.611,0.027,1.584,0.052
"73",5,"drink",1.42,0.088,0,0,0,0,1,0,0,0,0,0
"74",5,"h_ent",7.486,1.662,-0.974,0.216,7.567,-0.494,7.648,-10.946,7.405,0.481,7.324,0.948
"75",5,"kids",2.627,0.408,-1.14,0.177,2.65,-0.045,2.673,-0.705,2.604,0.044,2.581,0.087
"76",5,"l_ent",3.401,0.619,-0.648,0.118,3.421,-0.093,3.441,-1.548,3.381,0.092,3.361,0.183
"77",5,"other",1.976,0.391,-0.929,0.184,1.994,-0.032,2.012,-0.421,1.958,0.031,1.94,0.062
"78",5,"side",1.228,0.179,-1.283,0.187,1.239,-0.009,1.251,-0.059,1.217,0.009,1.205,0.017
"79",5,"soupsal",3.112,0.552,-0.378,0.067,3.122,-0.081,3.133,-1.221,3.102,0.08,3.091,0.159
"80",5,"steak",5.695,1.273,-1.22,0.273,5.773,-0.268,5.85,-6.104,5.617,0.258,5.54,0.508
"81",6,"alcoh",6.563,1.596,-1.117,0.272,6.652,-0.389,6.742,-5.193,6.474,0.375,6.384,0.733
"82",6,"app",5.104,1.368,-0.865,0.232,5.163,-0.272,5.222,-2.455,5.045,0.264,4.986,0.521
"83",6,"bev",2.245,0.581,-0.847,0.219,2.27,-0.051,2.294,0.618,2.22,0.05,2.196,0.099
"84",6,"brunc",6.998,0.64,0,0,0,0,1,0,0,0,0,0
"85",6,"buffe",NA,NA,0,0,0,0,1,0,0,0,0,0
"86",6,"burg",3.719,1.107,-0.624,0.186,3.754,-0.169,3.788,-0.454,3.684,0.165,3.65,0.328
