"","email_send","email_open_rate","email_click_rate","email_forward_rate","rest_loc_bar","rest_loc_Merch","rest_loc_Open","rest_loc_Patio","rest_loc_Rest","rest_loc_rm_serv","rest_loc_Take_out","rest_loc_cafe","rest_loc_unkn","time_breakfast","time_dinner","time_late_nite","time_lunch","time_unknown","disc_app","disc_beverage","disc_dessert","disc_employee","disc_food","disc_other","disc_ribs","disc_sandwich","disc_ticket","disc_type_bogo","disc_type_comp","disc_type_dolfood","disc_type_empl","disc_type_free","disc_type_other","disc_type_pctfood","disc_chan_advo","disc_chan_comp","disc_chan_demo","disc_chan_empl","disc_chan_entbk","disc_chan_gmms","disc_chan_gps","disc_chan_laten","disc_chan_local","disc_chan_other","disc_chan_part","disc_chan_smart","disc_chan_valc","disc_chan_value","disc_pct_tot","disc_pct_trans","items_tot_distinct","items_tot","net_amt_p_item","checks_tot","net_sales_p_chck","net_sales_tot","fd_cat_alcoh","fd_cat_app","fd_cat_bev","fd_cat_brunc","fd_cat_buffe","fd_cat_burg","fd_cat_combo","fd_cat_dess","fd_cat_drink","fd_cat_h_ent","fd_cat_kids","fd_cat_l_ent","fd_cat_other","fd_cat_side","fd_cat_soupsal","fd_cat_steak","days_between_trans","tenure_day","age","guests_last_12mo","customer_number"
"seg1",47,0.119,0,0,0,0,0,0,1,0,0,0,0,0,0.667,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0,0.159,0.583,9,14,6.246,3,31.07,82.62,0.042,0.14,0.073,0,0,0.028,0,0,0,0.201,0,0,0.015,0,0,0,28,1622,45,5.75,6394
"seg2",47,0.114,0,0,0,0,0,0,1,0,0,0,0,0,0.528,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.5,8,12,6.254,2,30.42,75.36,0.026,0.132,0.077,0,0,0.036,0,0,0,0.145,0,0,0.015,0,0,0,25,1721,47,5.75,4914
"seg3",47,0.111,0,0,0,0,0,0,1,0,0,0,0,0,0.667,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0.5,9,12,6.232,2,31.01,75.84,0.047,0.164,0.069,0,0,0.02,0,0,0,0.164,0,0,0.016,0,0,0,25,1679,45,5.75,5419
"seg4",48,0.17,0,0,0,0,0,0,1,0,0,0,0,0,0.636,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.176,0.636,15,25,6.018,5,32.03,153.13,0.081,0.149,0.07,0,0,0.048,0,0,0,0.173,0,0,0.025,0,0,0.044,28,1681,46,11.5,9964
"seg5",47,0.153,0,0,0.067,0,0,0,0.926,0,0,0,0,0,0.6,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.175,0.667,13,21,6.063,4,32.27,125.4,0.095,0.16,0.064,0,0,0.042,0,0,0,0.184,0,0,0.023,0,0,0.013,34,1544,44,9.2,8353
"seg6",47,0.14,0,0,0,0,0,0,1,0,0,0,0,0,0.667,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.5,10,14,6.363,3,32.41,87.89,0.065,0.14,0.068,0,0,0.031,0,0,0,0.186,0,0,0.015,0,0,0.028,28,1673,46,5.75,6548
"seg7",47,0.115,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0.5,9,13,6.211,3,31.34,81.98,0.047,0.14,0.071,0,0,0.035,0,0,0,0.178,0,0,0.015,0,0,0,28,1682,46,5.75,6109
