"","spend_per_txn","spend_per_item","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total_spend","mens_dept_spend","womens_dept_spend","kids_dept_spend","athletic_dept_spend","accessories_spend","recency","response","total_txns","total_items","unique_sizes","unique_depts","internet_spend","tenure","retained_flag","retained_spend","cmpns","pct_response","ever_responded","opens","clicks","hhincome","hhage","hhwom","hhmen","hhkids","man_dept_buy","womens_dept_buy","kids_dept_buy","athletic_dept_buy","accessories_dept_buy"
"seg1",49.99,27.62,0,0,0,0,0,0,0,0,0,0,0,0,79.98,0,10,0,39.99,0,7,0,1,3,2,2,0,12,0,0,3,0,0,0.066,0.009,67480,30.3,1.265,0.775,1.46,0,1,0,1,0
"seg2",49.65,28.07,0,0,0,0,0,0,0,0,0,0,0,0,77.48,0,10.5,0,30,0,7,0,2,3,2,2,0,12,0,0,3,0,0,0.066,0.009,67044,30.9,1.3,0.75,1.45,0,1,0,1,0
"seg3",46.88,26.24,0,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,23.12,0,7,0,1,3,2,2,0,13,0,0,3,0,0,0.066,0.009,68234,30.6,1.265,0.81,1.48,0,0,0,1,0
"seg4",46.7,26.61,0,0,0,0,0,0,0,0,0,0,0,0,77.49,0,0,0,34.99,0,8,0,1,3,2,2,0,14,0,0,3,0,0,0.067,0.009,66180,30.4,1.25,0.75,1.44,0,0,0,1,0
"seg5",48.74,27.49,0,0,0,0,0,0,0,0,0,0,0,0,72.97,0,10,0,29.99,0,7,0,1,3,2,2,0,12,0,0,3,0,0,0.066,0.009,67074,30.4,1.24,0.75,1.45,0,1,0,1,0
"seg6",47.96,25.99,0,0,0,0,0,0,0,0,0,0,0,0,99.99,0,21.99,0,44.08,0,7,1,2,4,2,2,0,16,0,0,6,0.083,1,0.065,0.009,71585,34.7,1.76,0.85,1.55,0,1,0,1,0
"seg7",49.98,28.74,0,0,0,0,0,0,0,0,0,0,0,0,82.48,0,17.49,0,39.99,0,8,0,2,3,2,2,0,15,0,0,4,0,0,0.066,0.009,68130,30.8,1.35,0.78,1.47,0,1,0,1,0
